"","C1","C2","C3","C4","M2","M3","M4","M5"
"Scd2",14.0733249595002,13.6789110871841,13.7380595971642,13.4101558098534,14.1262442758451,13.2447824600875,13.8081160938359,13.4901114694867
"Gfpt1",14.3303082029236,14.3923821621747,13.8891941426586,13.9226333014585,12.6204835300167,12.6830425282727,13.1907998594292,13.0290581489895
"Psap",13.4871063608465,13.5623853848867,13.3373954928427,13.583288455536,12.5181271894181,11.7904363707564,13.1159725448967,14.0266190018318
"Myo15b",13.7258397740872,13.9160012411762,13.7560984068528,14.1972936318106,14.2552384076941,14.6626965430983,12.5003163166028,12.0243110198718
"Calm1",13.2922004276618,13.3779672033608,13.3454814291816,13.5943424264734,14.2561866282007,13.9612826928218,14.131497163108,13.3870834067506
"mt-Co2",10.5042559264725,10.7438090318156,10.3655591738444,10.8725418462158,15.4901536684023,15.0989725702365,13.0927617310397,9.16133578646845
"Pabpc1",13.4779254088739,13.4537257135334,13.3463236195916,13.3225632324342,13.4121811391504,13.5984416326419,14.1753120658517,13.8298018236886
"Rplp1",12.7703225919345,12.725606720852,12.9728073507855,12.6765348687337,14.4367412149022,13.8005878343668,14.6645787249391,12.9234666850879
"Rpl13",13.055463138312,12.920685609156,13.1046523848315,12.8293334701622,14.1653145014443,14.0696478217615,14.546859211585,13.1651065495654
"Tmbim6",13.8053524548625,13.9203492735334,13.7196995303092,13.8650020017822,13.6929789421955,13.1944240996821,13.5936085881253,13.0080233277527
"Slc25a3",13.5318044736391,13.5781514252387,13.4907571252946,13.3140344275068,14.0364736906017,13.9075894710637,13.9331846113649,12.9247780849624
"Myh14",14.0468552778231,14.1767862730961,13.9441900286104,14.252965905055,13.6900474698079,13.1559371513332,12.9142914432832,12.0685859130847
"Srrm2",13.7945919525035,13.7585022634162,13.9409280302385,13.7253143484003,13.3930284176899,13.1281804291452,11.8338785576244,13.5347036106817
"Tspan1",14.2558614026523,14.2265273585388,14.2146395883,14.0015811388053,12.2889952657811,12.1187845530695,12.1642847062525,12.3059900011895
